"","source","target","weight"
"1","black","man",1
"2","mix","black",1
"3","unclear","unclear",1
"4","unclear","mix",1
"5","mix","man",1
"6","troop","fight",1
"7","fight","selv",1
"8","much","american",1
"9","good","much",1
"10","race","interbre",1
"11","good","american",1
"12","differ","wai",1
"13","low","standard",1
"14","wai","low",1
"15","standard","live",1
"16","differ","low",1
"17","wai","standard",1
"18","low","live",1
"19","differ","standard",1
"20","much","strife",1
"21","strife","troubl",1
"22","much","troubl",1
"23","try","find",1
"24","think","negro",1
"25","sociologist","think",1
"26","negro","happi",1
"27","sociologist","negro",1
"28","think","happi",1
"29","white","negro",1
"30","negro","mix",1
"31","negro","soldier",1
"32","soldier","live",1
"33","negro","live",1
"34","good","cooper",1
"35","cooper","keep",1
"36","good","keep",1
"37","keep","liabl",1
"38","liabl","troubl",1
"39","full","share",1
"40","chanc","full",1
"41","negro","chanc",1
"42","chanc","share",1
"43","work","good",1
"44","good","group",1
"45","unclear","unclear",1
"46","much","troubl",1
"47","troubl","race",1
"48","much","race",1
"49","know","negro",1
"50","negro","unclear",1
"51","negro","know",1
"52","know","take",1
"53","take","man",1
"54","man","rais",1
"55","rais","negro",1
"56","unclear","unclear",1
"57","think","negro",1
"58","negro","white",1
"59","white","mix",1
"60","think","white",1
"61","negro","mix",1
"62","look","dirti",1
"63","color","look",1
"64","color","dirti",1
"65","unclear","unclear",1
"66","soldier","chang",1
"67","make","soldier",1
"68","chang","mind",1
"69","make","chang",1
"70","soldier","mind",1
"71","get","good",1
"72","think","get",1
"73","good","outfit",1
"74","outfit","kind",1
"75","much","disint",1
"76","differ","thing",1
"77","gather","differ",1
"78","get","gather",1
"79","gather","thing",1
"80","time","get",1
"81","white","fellow",1
"82","fellow","like",1
"83","white","like",1
"84","like","Negro'",1
"85","commen","common",1
"86","negro","get",1
"87","get","good",1
"88","negro","good",1
"89","unclear","unclear",1
"90","unclear","white",1
"91","white","differ",1
"92","white","soldier",1
"93","Privileg","white",1
"94","Privileg","soldier",1
"95","want","buddi",1
"96","white","northern",2
"97","good","cooper",1
"98","separ","outfit",1
"99","white","southern",1
"100","southern","white",1
"101","outfit","white",1
"102","white","white",1
"103","southern","northern",1
"104","cooper","separ",1
"105","separ","white",1
"106","outfit","southern",1
"107","insert","fel",1
"108","sparat","make",1
"109","hard","insert",1
"110","mani","fight",1
"111","blend","negro",1
"112","bring","disharmoni",1
"113","negro","white",1
"114","blend","white",1
"115","white","bring",1
"116","sai","white",1
"117","white","color",1
"118","color","mix",1
"119","sai","color",1
"120","white","peopl",1
"121","peopl","negro",1
"122","white","negro",1
"123","negro","get",1
"124","like","furlough",1
"125","unclear","unclear",3
"126","unclear","negro",1
"127","unclear","white",1
"128","white","unclear",1
"129","negro","unclear",1
"130","color","peopl",1
"131","practic","educ",1
"132","actual","demonstr",1
"133","armi","subscrib",1
"134","myth","color",1
"135","peopl","inferior",1
"136","appli","practic",1
"137","demonstr","method",1
"138","question","paragraph",1
"139","paragraph","myth",1
"140","myth","peopl",1
"141","color","inferior",1
"142","appli","educ",1
"143","actual","method",1
"144","inferior","destroi",1
"145","destroi","appli",1
"146","educ","actual",1
"147","method","armi",1
"148","subscrib","question",1
"149","separ","outfit",1
"150","fight","separ",1
"151","fight","self",1
"152","like","associ",1
"153","associ","negro",1
"154","white","like",1
"155","like","negro",1
"156","white","peopl",1
"157","differ","white",1
"158","differ","peopl",1
"159","negro","stai",1
"160","stai","place",1
"161","make","good",1
"162","good","train",1
"163","make","train",1
"164","train","keep",1
