"","source","target","weight"
"1","manei","question",1
"2","rest","alright",1
"3","paragraph","rest",1
"4","last","paragraph",1
"5","paragraph","alright",1
"6","right","take",1
"7","kind","work",1
"8","work","want",1
"9","take","kind",1
"10","want","armi",1
"11","kind","want",1
"12","good","thing",1
"13","high","author",1
"14","author","get",1
"15","thing","high",1
"16","high","get",1
"17","get","action",1
"18","good","high",1
"19","thing","author",1
"20","author","action",1
"21","action","problem",1
"22","good","author",1
"23","thing","get",1
"24","high","action",1
"25","get","finish",1
"26","think","check",1
"27","check","get",1
"28","finish","check",1
"29","check","finish",1
"30","get","check",1
"31","check","feel",1
"32","big","drive",1
"33","war","end",1
"34","start","paragraph",1
"35","drive","start",1
"36","strong","paragraph",1
"37","variou","branch",1
"38","broad","train",1
"39","radio","oper",1
"40","field","artilleri",1
"41","think","type",1
"42","type","servic",1
"43","branch","servic",1
"44","servic","variou",1
"45","variou","servic",1
"46","train","work",1
"47","work","radio",1
"48","oper","field",1
"49","think","servic",1
"50","servic","branch",1
"51","servic","broad",1
"52","broad","work",1
"53","work","oper",1
"54","radio","field",1
"55","oper","artilleri",1
"56","includ","offic",1
"57","enlist","man",1
"58","refer","question",1
"59","come","aliv",1
"60","aliv","send",1
"61","send","combat",1
"62","thing","sai",1
"63","man","know",1
"64","combat","compani",1
"65","know","heck",1
"66","heck","thing",1
"67","enlist","know",1
"68","know","come",1
"69","come","send",1
"70","aliv","combat",1
"71","mani","desert",1
"72","mean","strike",1
"73","let","get",1
"74","prosecut","war",1
"75","draft","dodger",1
"76","strike","outlaw",1
"77","outlaw","durat",1
"78","durat","food",1
"79","food","poor",1
"80","get","prosecut",1
"81","mean","outlaw",1
"82","time","induct",1
"83","give","freedom",1
"84","lesson","come",1
"85","white","fight",1
"86","fight","christian",1
"87","christian","countri",1
"88","less","govern",1
"89","good","govern",1
"90","fight","give",1
"91","world","freedom",1
"92","valu","take",1
"93","fight","keep",1
"94","flood","countri",1
"95","white","christian",1
"96","fight","countri",1
"97","intend","keep",1
"98","earn","freedom",1
"99","freedom","help",1
"100","lie","hand",1
"101","fight","freedom",1
"102","freedom","world",1
"103","take","gift",1
"104","keep","top",1
"105","top","help",1
"106","countri","scum",1
"107","scum","world",1
"108","world","war",1
"109","white","countri",1
"110","countri","intend",1
"111","keep","wai",1
"112","wai","earn",1
"113","govern","good",1
"114","give","world",1
"115","gift","fight",1
"116","war","lesson",1
"117","christian","intend",1
"118","earn","help",1
"119","help","want",1
"120","less","good",1
"121","govern","govern",1
"122","let","get",2
"123","us","person",1
"124","special","train",1
"125","basic","train",1
"126","long","time",1
"127","can","seem",1
"128","want","sai",1
"129","train","long",1
"130","seem","shake",1
"131","seem","follow",1
"132","try","forget",1
"133","forget","past",1
"134","past","let",1
"135","sai","consid",1
"136","consid","effort",1
"137","train","subject",1
"138","basic","long",1
"139","train","time",1
"140","can","shake",1
"141","point","fruitless",1
"142","special","subject",1
"143","basic","time",1
"144","follow","let",1
"145","get","war",1
"146","war","try",1
"147","try","past",1
"148","forget","let",1
"149","past","get",1
"150","put","color",1
"151","color","peopl",1
"152","put","peopl",1
"153","know","put",1
"154","peopl","questionnair",1
"155","questionnair","figur",1
"156","know","color",1
"157","color","questionnair",1
"158","whole","armi",1
"159","armi","work",1
"160","polit","machin",1
"161","good","job",1
"162","dirti","work",1
"163","enlist","man",1
"164","littl","harsh",1
"165","open","mind",1
"166","pass","situat",1
"167","end","pass",1
"168","whole","work",1
"169","without","give",1
"170","officr","seem",1
"171","seem","forget",1
"172","camp","pass",1
"173","situat","terribl",1
"174","get","week",1
"175","week","end",1
"176","struggl","get",1
"177","influenc","good",1
"178","give","dirti",1
"179","man","wrong",1
"180","punish","littl",1
"181","camp","situat",1
"182","pass","terribl",1
"183","week","pass",1
"184","pass","week",1
"185","influenc","job",1
"186","job","without",1
"187","give","work",1
"188","officr","forget",1
"189","forget","enlist",1
"190","enlist","wrong",1
"191","punish","harsh",1
"192","get","end",1
"193","end","week",1
"194","unlist","man",1
"195","guard","hous",1
"196","extra","duti",1
"197","W.D.","give",1
"198","kind","unlist",1
"199","hous","extra",1
"200","try","get",1
"201","kind","man",1
"202","guard","extra",1
"203","hous","duti",1
"204","duti","kind",1
"205","field","outsid",1
"206","armi","mail",1
"207","write","W.D.",1
"208","give","kind",1
"209","man","speak",1
"210","speak","think",1
"211","afraid","unclear",1
"212","unclear","unclear",1
"213","unclear","guard",1
"214","guard","duti",1
"215","extra","kind",1
"216","get","feel",1
"217","laboratori","armi",1
"218","good","questioni",1
"219","thing","wrong",1
"220","excel","exam",1
"221","answer","truth",1
"222","wrong","dose",1
"223","dose","cover",1
"224","know","think",1
"225","question","answer",1
"226","truth","thing",1
"227","thing","dose",1
"228","think","race",1
"229","questioni","answer",1
"230","truth","wrong",1
"231","wrong","cover",1
"232","negro","soldier",1
"233","white","negro",1
"234","white","soldier",1
"235","soldier","live",1
"236","negro","live",1
"237","question","concern",1
"238","concern","offic",1
"239","compani","grade",1
"240","find","sever",1
"241","question","offic",1
"242","offic","compani",1
"243","lack","leadership",1
"244","leadership","green",1
"245","green","untrain",1
"246","offic","grade",1
"247","sever","consid",1
"248","consid","lack",1
"249","offic","contact",1
"250","contact","offic",1
"251","grade","find",1
"252","find","consid",1
"253","lack","green",1
"254","leadership","untrain",1
"255","make","job",1
"256","last","time",1
"257","war","effort",1
"258","carri","motor",1
"259","motor","part",1
"260","Holabird","Motor",1
"261","Motor","base",1
"262","see","sens",1
"263","eat","sleep",1
"264","sleep","make",1
"265","help","war",1
"266","carri","part",1
"267","Holabird","base",1
"268","sleep","job",1
"269","paragraph","last",1
"270","help","effort",1
"271","effort","month",1
"272","part","packer",1
"273","packer","Holabird",1
"274","month","month",1
"275","month","wast",1
"276","eat","make",1
"277","paragraph","time",1
"278","war","month",1
"279","month","carri",1
"280","motor","packer",1
"281","packer","Motor",1
"282","front","page",1
"283","put","name",1
"284","name","M.A.S.N",1
"285","line","front",1
"286","put","M.A.S.N",1
"287","want","find",1
"288","man","think",1
"289","line","page",1
"290","page","put",1
"291","check","question",1
"292","front","put",1
"293","page","name",1
"294","find","man",1
"295","first","sergeant",2
"296","rank","think",1
"297","non-com","know",1
"298","much","respect",1
"299","averag","soldier",1
"300","etolerat","religion",1
"301","redicul","church",1
"302","church","goer",1
"303","compani","command",1
"304","man","rank",1
"305","think","supervisor",1
"306","supervisor","qualifi",1
"307","job","hold",1
"308","know","fair",1
"309","fair","plai",1
"310","plai","decenc",1
"311","sergeant","threaten",1
"312","threaten","man",1
"313","redicul","goer",1
"314","question","manag",1
"315","manag","compani",1
"316","command","influenc",1
"317","influenc","first",1
"318","man","think",1
"319","rank","supervisor",1
"320","qualifi","job",1
"321","non-com","fair",1
"322","choos","much",1
"323","respect","averag",1
"324","first","threaten",1
"325","compani","includ",1
"326","influenc","sergeant",1
"327","sergeant","C.o",1
"328","C.o","man",1
"329","think","qualifi",1
"330","hold","non-com",1
"331","know","plai",1
"332","fair","decenc",1
"333","leader","delet",1
"334","delet","delet",1
"335","delet","choos",1
"336","choos","respect",1
"337","much","averag",1
"338","respect","soldier",1
"339","soldier","non-com",1
"340","non-com","first",1
"341","sergeant","man",1
"342","command","punish",1
"343","good","idea",1
"344","idea","show",1
"345","show","opinion",1
"346","good","show",1
"347","think","good",1
"348","idea","opinion",1
"349","opinion","soldier",1
"350","enough","stress",1
"351","actual","abil",1
"352","non","com",1
"353","soldier","judg",1
"354","wai","shine",1
"355","shine","shoe",1
"356","advanc","non",1
"357","com","comm",1
"358","comm","offic",1
"359","judg","wai",1
"360","shoe","enough",1
"361","stress","actual",1
"362","abil","advanc",1
"363","advanc","com",1
"364","non","comm",1
"365","wai","shoe",1
"366","shoe","stress",1
"367","enough","actual",1
"368","stress","abil",1
"369","actual","advanc",1
"370","com","offic",1
"371","on","make",1
"372","make","mistak",1
"373","think","folk",1
"374","folk","home",1
"375","ey","turn",1
"376","on","mistak",1
"377","mistak","time",1
"378","part","think",1
"379","make","time",1
"380","punish","let",1
"381","let","pull",1
"382","pull","cut",1
"383","cut","nonsens",1
"384","soldier","see",1
"385","see","will",1
"386","will","part",1
"387","think","home",1
"388","on","time",1
"389","non-com","todai",1
"390","ask","non-com",1
"391","take","test",1
"392","test","see",1
"393","todai","pick",1
"394","friend","1st",1
"395","formul","answer",1
"396","non-com","sai",1
"397","sai","man",1
"398","qualifi","posit",1
"399","non-com","pick",1
"400","answer","armi",1
"401","sai","armi",1
"402","armi","ask",1
"403","ask","poll",1
"404","take","see",1
"405","see","qualifi",1
"406","posit","non-com",1
"407","pick","friend",1
"408","bad","next",1
"409","next","train",1
"410","train","connect",1
"411","bu","servic",1
"412","food","good",1
"413","good","dai",1
"414","dai","bad",1
