long,racial_group,index,bracket,correct,,
i think the army is a good thing thats how [i] lake it. but i dont lake to fight killing is not my living army is all rite if we can go home more after. i think the white + calard soldiers should mix together more often to see what each of us is doin i think they should let those mens go home that no good to the army + get some young fellow that can fight to help win this war,black,28,[i],i think the army is a good thing that's how I like it. but i don't like to fight. killing is not my living. army is all right if we can go home more after. i think the white and colored soldiers should mix together more often to see what each of us is doing i think they should let those mens go home that no good to the army and get some young fellow that can fight to help win this war,,
i think this questionnaire have given me a chance to express a lot of opinions that i would like to express and hope that it will help my self and the government. i think this questionnaire have given me a chancl [chance] to express a lot of apinnions [opinions] that i would like to express and hope that it will help myself and the goverment [government].,black,30,[chance]|[opinions]|[government],i think this questionnaire have given me a chance to express a lot of opinions that i would like to express and hope that it will help myself and the government. i think this questionnaire have given me a chance to express a lot of opinions that i would like to express and hope that it will help myself and the government.,,
this is an interesting questiner [questionnaire] and i would like to say that if whites and negroes should mix now in rxs service clubs etc when the war did end we would be better acquantied than before. and i wish to say that i don't mind dieing for my country. my folks are americans and it is no reason in the world that i should resent defending them against them bastards over there. and i myself is ready to die for my country. i can think of no other country in the world i would like to have my daughter brought up with or without me.,black,39,[questionnaire],"this is an interesting questionnaire, and i would like to say that if whites and negroes should mix now in rxs service clubs etc when the war did end we would be better acquainted than before. and i wish to say that i don't mind dying for my country. my folks are americans and it is no reason in the world that i should resent defending them against them bastards over there. and i myself is ready to die for my country. i can think of no other country in the world i would like to have my daughter brought up with or without me.",,
for it very hard to get white an negroes to stay together without fighing[fighting],black,50,[fighting],for it very hard to get white and negroes to stay together without fighting,,
"the only thing i'm waiting for is duration and 6 mos.[months]  this survey is a good thing, but as usual any thing concerning a negro is never looked into as it should- so this seems like a waste of time.  every thing i said is my opinion only if i could come true i might like the army",black,55,[months],"the only thing i'm waiting for is duration and 6 months. this survey is a good thing, but as usual any thing concerning a negro is never looked into as it should- so this seems like a waste of time.  every thing i said is my opinion only if i could come true i might like the army",,
our batry[battery] commander do not like colored solgers[soldiers] he is from the south & have southern ways he do not like to see us have any receration[recreation] at all i believe a colored officer no how we all feel and would lie us a chance to live & let live speaking for a whole we don't think mutch of our b.c. i would like a colored supior[superior] officer not  on the white man i would give my life for the commander in chief any day for the support of my family,black,59,[battery]|[soldiers]|[recreation]|[superior],our battery commander do not like colored soldiers he is from the south and have southern ways he do not like to see us have any recreation at all i believe a colored officer no how we all feel and would lie us a chance to live and let live speaking for a whole we don't think much of our battery commander i would like a colored superior officer not on the white man i would give my life for the commander in chief any day for the support of my family,,
"i think that since there is so much racial prejudice and hatred going on the negroe soldier tends to feel as though he is just being ""used"" by the white people as we have been in the past.  we are treated like ""hell"" all of the time and when a war breaks out we are given a few priveleges [privileges] to build up our patriotism and we have to fight for ""our"" country. even though deep down inside of every one of us we know that we are not fighting for a democracy that is equally beneficial to the negroe as the other race.  we are all wondering that after the war will we still be barred from hotels, theaters, etc. segregated in trains and horses -- lynched in the south -- given lowly jobs that white doesn't want etc. and yet we have fought and given lives for this country. i doubt if there will ever be a true democracy here. it would be better if there were a law made that the u.s. majority of whites do not want negroes around.",black,86,[privileges],"i think that since there is so much racial prejudice and hatred going on the negroe soldier tends to feel as though he is just being ""used"" by the white people as we have been in the past.  we are treated like ""hell"" all of the time and when a war breaks out we are given a few privileges to build up our patriotism and we have to fight for ""our"" country. even though deep down inside of every one of us we know that we are not fighting for a democracy that is equally beneficial to the negroe as the other race.  we are all wondering that after the war will we still be barred from hotels, theaters, etc. segregated in trains and horses -- lynched in the south -- given lowly jobs that white doesn't want etc. and yet we have fought and given lives for this country. i doubt if there will ever be a true democracy here. it would be better if there were a law made that the u.s. majority of whites do not want negroes around.",,
as a whole the negro will be more united after the war due to his training and corporation [cooperation] with other soldiers and will have spirit to speak for and demand his rights.,black,88,[cooperation],as a whole the negro will be more united after the war due to his training and cooperation with other soldiers and will have spirit to speak for and demand his rights.,,
"why i would like to be stationed in the north is because i don't mind being in the army, and i don't mind giving my life for my country, so theirfore [therefore]the country must have some consideration for a man expecially [especially] a married man. you see when a man is a long ways from home he can sit down and think a lot of things. i have a daughter at home in which i've never seen before. in another case, if you are from home and go into town get some kind of [device?] you have lost that time alright if that man was stationed near home he can go home an come back just like he lift [left] he for, because he knows whats home. now my daught was born two weeks after i came in the army i have not saw her yet, now things like that can really hurt a man i think thats the reason why you have so many a.w.o.l. in the army. he can be able to go home at least once a month and at least seven days out a month. he doesn't have to married officially to go home an see his mother or his family.",black,105,[therefore]|[especially]|[device?]|[left],"why i would like to be stationed in the north is because i don't mind being in the army, and i don't mind giving my life for my country, so therefore the country must have some consideration for a man especially a married man. you see when a man is a long ways from home he can sit down and think a lot of things. i have a daughter at home in which i've never seen before. in another case, if you are from home and go into town get some kind of device you have lost that time alright if that man was stationed near home he can go home an come back just like he left he for, because he knows whats home. now my daughter was born two weeks after i came in the army i have not saw her yet, now things like that can really hurt a man i think thats the reason why you have so many a.w.o.l. in the army. he can be able to go home at least once a month and at least seven days out a month. he doesn't have to married officially to go home an see his mother or his family.",,
my opinion about this questionnaire is rather [brief?]. but gave me a chance to express my opposition about some of the things i wanted to express. the white officers are most from the south see that make them hard to get along with then .,black,113,[brief?],my opinion about this questionnaire is rather brief. but gave me a chance to express my opposition about some of the things i wanted to express. the white officers are most from the south see that make them hard to get along with then .,,
"to me this is the white man's war. i see no reason why the negro who fo years had eatten [sic] from the crumbs of the white mans table, now be forced to fight and protect a system, a way of life that even he dislikes. this great country could lead the way for a world democracy, but first we must put into effect that same idealistic democracy. let us place our own home in order. give the negro something to fight for beside a promise, let him feel that he is a part of this country and he will fight and fight like hell.",black,124,[sic],"to me this is the white man's war. i see no reason why the negro who for years had eatten from the crumbs of the white mans table, now be forced to fight and protect a system, a way of life that even he dislikes. this great country could lead the way for a world democracy, but first we must put into effect that same idealistic democracy. let us place our own home in order. give the negro something to fight for beside a promise, let him feel that he is a part of this country and he will fight and fight like hell.",,
the powers given to 1st sgt [sergeant] should be definitely stated on paper. the privelige of speaking to the c.o. [commanding officer] should not be denied the soldiers by 1st sgt.i think that government [government] should pay allotments as the money is taken out of monthly pay.this camp is too far from civilization.negro soldiers are not trained properly. they are not issued enough practice ammunition.,black,126,[sergeant]|[commanding officer]|[government],the powers given to 1st sergeant should be definitely stated on paper. the privilege of speaking to the commanding officer should not be denied the soldiers by 1st sergeant. i think that government should pay allotments as the money is taken out of monthly pay. this camp is too far from civilization. negro soldiers are not trained properly. they are not issued enough practice ammunition.,,
they could trete [treat] the negro in the south better and give them a better chance to live. why do they white trete [treat] the negro so bad. can⊙t they put a stop to that. thay [they] could trete [treat] the negro in the south better. and give them a better chance to live why  thay [they] white trete [treat] the negro so bad. can't thay [they] put a stop to that.,black,139,[treat]|[treat]|[they]|[treat]|[they]|[treat]|[they],they could treat the negro in the south better and give them a better chance to live. why do the white treat the negro so bad. can't they put a stop to that. they could treat the negro in the south better. and give them a better chance to live why the white treat the negro so bad. can't they put a stop to that.,,
i am very sorrow i cant put my name say i am a pvt [private] in the us army and i find no comments about the army only i am from the south and i have my wife and kid up here with me and what i dont like is that some of the men can get passes good at all time and some cant. well here is what i think about it a man is a man a woman is a woman and one should be aloud [allowed] no more than the other. they told me the first three grade are the only one to get them. but that a lie because i no [know] better. i hope some one looking in to this pleas [please].hope to talk face to face with one of you some day soon[.] wish i cod [could] write name.,black,145,[private]|[allowed]|[know]|[please]|[.]|[could],i am very sorrow i cant put my name say i am a private in the us army and i find no comments about the army only i am from the south and i have my wife and kid up here with me and what i dont like is that some of the men can get passes good at all time and some cant. well here is what i think about it a man is a man a woman is a woman and one should be allowed no more than the other. they told me the first three grade are the only one to get them. but that a lie because i know better. i hope some one looking in to this please. hope to talk face to face with one of you some day soon. wish i could write name.,,
i hope when this war is over it would bring this country together both negros [negroes] and whites if the u.s. would together and be real buddies like a team of real fighting people and not jim crow in the south or any other southern places. it would be a better world. we want have no wars in the u.s. about jim crow so let get togehe and be good sports and play ball together.,black,169,[negroes],i hope when this war is over it would bring this country together both negroes and whites if the u.s. would together and be real buddies like a team of real fighting people and not jim crow in the south or any other southern places. it would be a better world. we want have no wars in the u.s. about jim crow so let get togehe and be good sports and play ball together.,,
"q58- negroes are not given jobs to their ability they get almost, reach a certain point and cant advance due to their race. q31 & q6 - due to phisical [physical] disibility [disability] of one of my legs i cant fulfill the duties expected of me properly",black,186,[physical]|[disability],"q58- negroes are not given jobs to their ability they get almost, reach a certain point and cant advance due to their race. q31 & q6 - due to physical disability of one of my legs i cant fulfill the duties expected of me properly",,
"i feel that this questionnaire will be quite benificially if carried out. it will not only bring about the inward feelings of each individual but help to raise the moral which will insure victory. also it will help bring about a more friendly feeling between the races. i was never more pleased to fill out anything than i was this. it displays freedom of speech which we as a negro race seldom get such a opportunity to display. i hope and pray more of this work will be carried out. i love my country america, we all do, give us a opportunity to show it. even if we die we shall not die in vain. but the benefits shall by shared by our generations to come. regardless of race, creed or color. i feel that this questionnaire will be quite benificially [beneficial] if carried out. it will not only bring about the inward feelings of each individual but help to raise the moral which will insure victory. also it will help bring about a more friendly feeling between the races. i was never more pleased to fill out anything, then i was this. it displayed freedom of speech which we as a negro race seldom get such a oppurtunity [opportunity] to display.  i hope and pray more of this work will be carried out. i love my country america, we all do, give us an opportunity to show it.  even if we die, we shall not die in vain. but the benifits [benefits] shall be shared by our generations to come. regardless of race, creed or color.",black,189,[beneficial]|[opportunity]|[benefits],"i feel that this questionnaire will be quite benificially if carried out. it will not only bring about the inward feelings of each individual but help to raise the moral which will insure victory. also it will help bring about a more friendly feeling between the races. i was never more pleased to fill out anything than i was this. it displays freedom of speech which we as a negro race seldom get such a opportunity to display. i hope and pray more of this work will be carried out. i love my country america, we all do, give us a opportunity to show it. even if we die we shall not die in vain. but the benefits shall by shared by our generations to come. regardless of race, creed or color. i feel that this questionnaire will be quite beneficial if carried out. it will not only bring about the inward feelings of each individual but help to raise the moral which will insure victory. also it will help bring about a more friendly feeling between the races. i was never more pleased to fill out anything, then i was this. it displayed freedom of speech which we as a negro race seldom get such a opportunity to display.  i hope and pray more of this work will be carried out. i love my country america, we all do, give us an opportunity to show it.  even if we die, we shall not die in vain. benefits shall be shared by our generations to come. regardless of race, creed or color.",,
"i really think soldiers should be stationed closer to their family, so as to noty stay worried so much, and their minds would be more clear for becoming a good soldier. and furlough should be more often than every six months. the management of colored camps should not take advantage of soldiers, as far as prices of different articles in canteens, ect [etc].",black,234,[etc],"i really think soldiers should be stationed closer to their family, so as to noty stay worried so much, and their minds would be more clear for becoming a good soldier. and furlough should be more often than every six months. the management of colored camps should not take advantage of soldiers, as far as prices of different articles in canteens, etc.",,
"i this questionnaire is very good so that each person have a chance to speak what he think. there is not many chances when a negro can give his trueful [truthful] thoughts. i think the negroes is playing a good part in this war as far these chances. i do hope the day will come when the negro can live like any other person, and will be treated the same. then you will him very understandable and for to do the right thing. until then he doesn't a thing to relie [rely] for or fight for. so this is my honest opinion.",black,235,[truthful]|[rely],"i this questionnaire is very good so that each person have a chance to speak what he think. there is not many chances when a negro can give his truthful thoughts. i think the negroes is playing a good part in this war as far these chances. i do hope the day will come when the negro can live like any other person, and will be treated the same. then you will him very understandable and for to do the right thing. until then he doesn't a thing to rely for or fight for. so this is my honest opinion.",,
75 [division sign] my camp are all colored and no white soldier.,black,239,[division sign],75 my camp are all colored and no white soldier.,,
"45. and to see that we continue to have liberty + the persude [pursuit] of happiness throughout our internal life.  46. but also for the sick, cripple, poor people, so that they may try to work their way up the ladder.  48. that is why we are fighting today. simply because we stop fighting when they kyser ask before. if we had refuse to sign a peace treaty, we wouldn't have been fighting today with germany. in other words, we let her reload her gun to kill us while we were off guard.  74. the other hand both the white & colored are fighting side by side therefore they should eat & drink the same way.",black,242,[pursuit],"45. and to see that we continue to have liberty and the persude pursuit of happiness throughout our internal life.  46. but also for the sick, cripple, poor people, so that they may try to work their way up the ladder.  48. that is why we are fighting today. simply because we stop fighting when they kyser ask before. if we had refuse to sign a peace treaty, we wouldn't have been fighting today with germany. in other words, we let her reload her gun to kill us while we were off guard.  74. the other hand both the white and colored are fighting side by side therefore they should eat and drink the same way.",,
there shouldn't be any jim crow if we're fighting for the same thing. they always put the white man at the head of everything and the negro has to take whats [what's] left.,black,262,[what's],there shouldn't be any jim crow if we're fighting for the same thing. they always put the white man at the head of everything and the negro has to take what's left.,,
i don't think it is fair for it to be descrimination [discrimination] of service places in mixed camps because we are all fighting for the government of the people for the people and by the people which is freedom and i also feel that the negro is sacrificeing [sacrificing] his life as well as the white,black,283,[discrimination]|[sacrificing],i don't think it is fair for it to be discrimination of service places in mixed camps because we are all fighting for the government of the people for the people and by the people which is freedom and i also feel that the negro is sacrificing his life as well as the white,,
"i think what i am doing now will be of vital importance to my children and there children, that is the reason for my wanting so much to win this war and be free to walk in any place in the u.s. in the front door and not be told that no niggers aloud [allowed], i want to say this is the country i fought for so it can be free, every man have same right's no matter if he is black, green white or yellow. it would make me feel very bad to come back and be jim crow in the country i willing chanced my life to save",black,286,[allowed],"i think what i am doing now will be of vital importance to my children and there children, that is the reason for my wanting so much to win this war and be free to walk in any place in the u.s. in the front door and not be told that no niggers allowed, i want to say this is the country i fought for so it can be free, every man have same right's no matter if he is black, green white or yellow. it would make me feel very bad to come back and be jim crow in the country i willing chanced my life to save",,
one thing is that these colored soldiers ar [sic] not treated fair by some of these white officers in they company. ask you what is the matter and you get to tell him and they wont [sic] even let you explain yourself. i would rather have all colored officers in the company the white and rather have whites officers from the north than the south because the [sic] treat colored peoples  these souther [sic] officers and these colored officers from the north or south they all about the same one thing is that these calared [colored] soldiers or [are] not treated fair by some of these whites [white] officers in they [their] company.  you what is the matter and you go to tell him and they wont even let you explain yourself. i would rather have all calored [colored] officers in the company the white and rather have whites [white] officers from the north than the south because the [they] treat colored peoples thean [than] these souther [southern] officers and these colared [colored] officers from the north or south they all about the same,black,291,[sic]|[sic]|[sic]|[sic]|[colored]|[are]|[white]|[their]|[colored]|[white]|[they]|[than]|[southern]|[colored],one thing is that these colored soldiers are not treated fair by some of these white officers in they company. ask you what is the matter and you get to tell him and they won't even let you explain yourself. i would rather have all colored officers in the company the white and rather have whites officers from the north than the south because the treat colored peoples  these southern officers and these colored officers from the north or south they all about the same one thing is that these colored soldiers are not treated fair by some of these white officers in their company.  you what is the matter and you go to tell him and they wont even let you explain yourself. i would rather have all colored officers in the company the white and rather have white officers from the north than the south because they treat colored peoples than these southern officers and these colored officers from the north or south they all about the same,,
"yes we get treated like hell here they say you are lieing [lying] when you are sick, if someone dies they just tell his people he died soldiering when they killed him they take men out on the field that the doctor takes of duty and make them sleep on the ground with out any thing to sleep on or eat out of and take you way off from the company and tell you they are coming back after you and then the leave and stay 2 or 3 days on a problem and you never get any thing to eat or drink except what you can bumb [bum] from farmers i think that a hell of a god dam way to treat men that's suppose to be soldiers of the united states army. i figure something should be done about it, and soon.",black,293,[lying]|[bum],"yes we get treated like hell here they say you are lying when you are sick, if someone dies they just tell his people he died soldiering when they killed him they take men out on the field that the doctor takes of duty and make them sleep on the ground with out any thing to sleep on or eat out of and take you way off from the company and tell you they are coming back after you and then the leave and stay 2 or 3 days on a problem and you never get any thing to eat or drink except what you can bum from farmers i think that a hell of a god dam way to treat men that's suppose to be soldiers of the united states army. i figure something should be done about it, and soon.",,
"out here where im stationed is one of the damdist camps in the whole united states no recreation worth a damn! the little we do have is just too short to mention!  about 50-women to the thousands of soldiers. have to be out of town at 11 o""clock, still haven't did nothing! sleeping on the ground from wk in to wk out! out here where i'm stationed is one of the damdist [damnedest] camps in the whole united states. no recreation worth a damn!  the little we do have is just too short to mention!  about 50-women to thousands of soldiers. have to be out of town at 11 o'clock, still haven't did nothing! sleeping on the ground from wk. in to wk. out!",black,299,[damnedest],"out here where im stationed is one of the damnedest camps in the whole united states no recreation worth a damn! the little we do have is just too short to mention!  about 50-women to the thousands of soldiers. have to be out of town at 11 o'clock, still haven't did nothing! sleeping on the ground from week in to week out! out here where i'm stationed is one of the damnedest camps in the whole united states. no recreation worth a damn!  the little we do have is just too short to mention!  about 50-women to thousands of soldiers. have to be out of town at 11 o'clock, still haven't did nothing! sleeping on the ground from week in to week out!",,
"after being promised my release after 1 year of service i was kept and many soldiers release who hadn't had seven months of training just because they were 28 or over. ill [i'll] always feel that i was dealt with unjustly  i would have been  to return after pearl harbor.  this army  business in the  if the government can't protect her soldiers no matter what color how do [does] she expect them to want to protect her. stop civilian cops from mistreating colored soldiers in the south.  going south soon if  molested in anyway there will be  and plenty. why isnt [isn't] there more paper to write on? in an isolated camp as mine any is there such a thing as bed check? most   on weekend alone and 10,  soldiers heading for a town that can afford recreation of only 50. something should be done. why isn't home built around here for enlisted men and there [their] families? the only women around here aren't fit society for the japs and germans. for an all colored post it's pretty lightly colored. decent house belong to civilians why can't soldiers own them? why?i'm expecting combat duty soon this country had better make her promise good or we'll have another war within two years but with all her faults i love her.",black,301,[i'll]|[does]|[isn't]|[their],"after being promised my release after 1 year of service i was kept and many soldiers release who hadn't had seven months of training just because they were 28 or over. i'll always feel that i was dealt with unjustly  i would have been  to return after pearl harbor.  this army  business in the  if the government can't protect her soldiers no matter what color how does she expect them to want to protect her. stop civilian cops from mistreating colored soldiers in the south.  going south soon if  molested in anyway there will be  and plenty. why isn't there more paper to write on? in an isolated camp as mine any is there such a thing as bed check? most   on weekend alone and 10,  soldiers heading for a town that can afford recreation of only 50. something should be done. why isn't home built around here for enlisted men and their families? the only women around here aren't fit society for the japs and germans. for an all colored post it's pretty lightly colored. decent house belong to civilians why can't soldiers own them? why? i'm expecting combat duty soon this country had better make her promise good or we'll have another war within two years but with all her faults i love her.",,
i sincerely hope that when the present war has come to an end we all races living in the united states will find things better and that  so call colored line will be discontinued and a man came [can] get a job not because he is white: but because he has the ability to conducted [conduct] the work in a very satisfactory manner. & that the south will learn to treat the colored man like he is a human being and not animals who don't have any pride or feelings.,black,303,[can]|[conduct],i sincerely hope that when the present war has come to an end we all races living in the united states will find things better and that  so call colored line will be discontinued and a man can get a job not because he is white: but because he has the ability to conduct the work in a very satisfactory manner. and that the south will learn to treat the colored man like he is a human being and not animals who don't have any pride or feelings.,,
i think it is a good thing for the negro race to have a all negro division it would be better if we had all negro officers by. the army is [/allay] it is swell 2 have 3 brothers in it and they all have made good to you.,black,308,[/allay],i think it is a good thing for the negro race to have a all negro division it would be better if we had all negro officers by. the army is ally it is swell 2 have 3 brothers in it and they all have made good to you.,,
my part in this war is not altogether for my country but against () for and with the [progress?] people. of the world i dont want to to see the ([axis?]) defeated. because i want to see america rule the world. no) i want to see all people free and complete free for the negro people of america.,black,309,[progress?]|[axis?],my part in this war is not altogether for my country but against for and with the progress people. of the world i dont want to to see the axis defeated. because i want to see america rule the world. no i want to see all people free and complete free for the negro people of america.,,
 six want to no [know] will there be any difference between the treating of the white people plus negros so far as the way of living in life so far  better  what is to be  after the wars ,black,312,[know], six want to know will there be any difference between the treating of the white people plus negros so far as the way of living in life so far  better  what is to be  after the wars ,,
i like all but i ant able to do it i have bad nee [knee]and can't work like i want to,black,315,[knee],i like all but i ant able to do it i have bad knee and can't work like i want to,,
"we sould [should] be in the same camp and treated the same as any one else all over the world for we are all human and we are all fighting for the same thing, freedom. the negro are trying for a double  we want to be free to go where we want to feel just like we are human and that is how we wood [would] like to be treated. fight together sing together, be just as we are the same. negro or white are the same to me there are no differan [difference].",black,322,[should]|[would]|[difference],"we should be in the same camp and treated the same as any one else all over the world for we are all human and we are all fighting for the same thing, freedom. the negro are trying for a double  we want to be free to go where we want to feel just like we are human and that is how we would like to be treated. fight together sing together, be just as we are the same. negro or white are the same to me there are no difference.",,
