"","doc_id","term1","term2","cooc"
"1","1","tell","many",1
"2","1","many","time",1
"3","1","colored","soldier",1
"4","1","emancipation","proclamation",1
"5","1","proclamation","negro",1
"6","1","survey","let",1
"7","1","love","america",1
"8","1","citizen","equal",1
"9","1","white","citizen",1
"10","1","tell","time",1
"11","1","fight","war",1
"12","1","rights","privileges",1
"13","1","privileges","whites",1
"14","1","care","see",1
"15","1","promise","negro",1
"16","1","emancipation","negro",1
"17","1","privilege","fight",1
"18","1","let","hope",1
"19","1","fight","america",1
"20","1","demand","status",1
"21","1","example","democracy",1
"22","1","democracy","use",1
"23","1","time","fight",1
"24","1","soldier","discriminate",1
"25","1","discriminate","segregate",1
"26","1","many","promise",1
"27","1","negro","keep",1
"28","1","negro","fight",1
"29","1","right","privilege",1
"30","1","conclusion","draw",1
"31","1","draw","survey",1
"32","1","survey","hope",1
"33","1","advantage","negro",1
"34","1","negro","love",1
"35","1","america","fight",1
"36","1","america","negro",1
"37","1","status","citizen",1
"38","1","way","example",1
"39","1","use","country",1
"40","1","many","fight",1
"41","1","democracy","rights",1
"42","1","rights","whites",1
"43","1","whites","colored",1
"44","1","colored","discriminate",1
"45","1","civilian","evident",1
"46","1","evident","care",1
"47","1","see","many",1
"48","1","keep","emancipation",1
"49","1","proclamation","fight",1
"50","1","fight","conclusion",1
"51","1","draw","let",1
"52","1","negro","america",1
"53","1","love","fight",1
"54","1","negro","demand",1
"55","1","status","equal",1
"56","1","citizen","way",1
"57","1","example","use",1
"58","2","like","army",1
"59","2","thing","fight",1
"60","2","side","think",1
"61","2","think","thing",1
"62","2","fight","white",1
"63","3","white","people",2
"64","3","negro","soldier",2
"65","3","win","war",2
"66","3","people","put",1
"67","3","colored","people",1
"68","3","last","war",1
"69","3","color","soldier",1
"70","3","soldier","take",1
"71","3","take","part",1
"72","3","continue","kill",1
"73","3","soldier","think",1
"74","3","manpower","need",1
"75","3","white","put",1
"76","3","put","colored",1
"77","3","war","color",1
"78","3","war","white",1
"79","3","people","south",1
"80","3","realize","negro",1
"81","3","negro","take",1
"82","3","part","war",1
"83","3","kill","negro",1
"84","3","negro","think",1
"85","3","people","colored",1
"86","3","put","people",1
"87","3","people","impression",1
"88","3","last","color",1
"89","3","war","soldier",1
"90","3","soldier","ace",1
"91","3","ace","hole",1
"92","3","war","people",1
"93","3","white","south",1
"94","3","south","realize",1
"95","3","realize","soldier",1
"96","3","soldier","part",1
"97","3","war","continue",1
"98","3","kill","soldier",1
"99","3","need","white",1
"100","3","white","colored",1
"101","3","people","people",1
"102","3","colored","impression",1
"103","3","impression","win",1
"104","3","know","foolish",1
"105","3","last","soldier",1
"106","3","color","ace",1
"107","4","white","soldier",1
"108","4","soldier","travel",1
"109","4","brotherhood","consurn",1
"110","4","rights","white",1
"111","4","white","travel",1
"112","4","travel","town",1
"113","4","town","white",1
"114","4","rights","soldier",1
"115","5","whole","cause",1
"116","5","nature","choose",1
"117","5","questionnaire","give",1
"118","5","opportunity","express",1
"119","5","express","view",1
"120","5","believe","whole",1
"121","5","lack","intelligence",1
"122","5","intelligence","understanding",1
"123","5","understanding","avoid",1
"124","5","avoid","problem",1
"125","5","problem","remedy",1
"126","5","color","supreme",1
"127","5","choose","make",1
"128","5","man","spirit",1
"129","5","spirit","body",1
"130","5","realize","fact",1
"131","5","fact","thanks",1
"132","5","approve","questionnaire",1
"133","5","give","opportunity",1
"134","5","believe","cause",1
"135","5","supreme","nature",1
"136","5","nature","make",1
"137","5","human","realize",1
"138","5","opportunity","view",1
"139","5","view","believe",1
"140","5","lack","understanding",1
"141","5","intelligence","avoid",1
"142","5","understanding","problem",1
"143","5","avoid","remedy",1
"144","5","supreme","choose",1
"145","5","make","man",1
"146","5","man","man",1
"147","5","man","body",1
"148","5","body","blood",1
"149","5","blood","grant",1
"150","5","realize","thanks",1
"151","5","thanks","opportunity",1
"152","6","let","stick",1
"153","6","normal","living",1
"154","6","problem","concern",1
"155","6","white","rights",1
"156","6","races","present",1
"157","6","beat","axis",1
"158","6","congress","represan",1
"159","6","represan","tation",1
"160","6","stick","beat",1
"161","6","get","normal",1
"162","6","concern","white",1
"163","6","rights","thrash",1
"164","6","thrash","congress",1
"165","6","tation","races",1
"166","6","let","beat",1
"167","6","axis","possible",1
"168","6","possible","get",1
"169","6","get","living",1
"170","6","living","problem",1
"171","6","problem","white",1
"172","6","concern","rights",1
"173","6","white","thrash",1
"174","6","congress","tation",1
"175","6","tation","present",1
"176","7","morning","wish",1
"177","8","t't","know",1
"178","8","white","officer",1
"179","8","negro","soldier",1
"180","8","south","hell",1
"181","8","hell","negro",1
"182","8","day","sat.",1
"183","8","sat.","get",1
"184","8","get","bus",1
"185","8","bus","town",1
"186","8","give","chance",1
"187","8","hell","soldier",1
"188","8","like","o.c.",1
"189","8","south","negro",1
"190","8","day","get",1
"191","8","sat.","bus",1
"192","8","get","town",1
"193","8","town","slow",1
"194","9","industrial","job",1
"195","9","day","come",1
"196","9","armed","force",1
"197","9","war","end",1
"198","9","southern","gentleman",1
"199","9","ignorant","southern",1
"200","9","southern","white",1
"201","9","naval","cadet",1
"202","9","white","sailor",1
"203","9","south","allow",1
"204","9","allow","vote",1
"205","9","give","chance",1
"206","9","chance","compete",1
"207","9","qualified","industrial",1
"208","9","u.s.","allow",1
"209","9","allow","black",1
"210","9","style","finances",1
"211","9","finances","pay",1
"212","9","take","place",1
"213","9","place","society",1
"214","9","segregate","abuse",1
"215","9","ignorant","white",1
"216","9","judge","promote",1
"217","9","promote","merit",1
"218","9","shade","color",1
"219","9","training","allow",1
"220","9","capable","handle",1
"221","9","end","war",1
"222","9","vote","country",1
"223","9","sacrifice","much",1
"224","9","much","whites",1
"225","9","compete","whites",1
"226","9","qualified","job",1
"227","9","glad","day",1
"228","9","come","soldier",1
"229","9","soldier","armed",1
"230","9","force","u.s.",1
"231","9","travel","style",1
"232","9","part","country",1
"233","9","end","want",1
"234","9","want","able",1
"235","9","abuse","ignorant",1
"236","9","cadet","judge",1
"237","9","merit","shade",1
"238","9","color","give",1
"239","9","give","training",1
"240","9","thing","white",1
"241","9","handle","situation",1
"242","9","situation","whites",1
"243","9","negro","surprised",1
"244","9","surprised","end",1
"245","9","south","vote",1
"246","9","country","sacrifice",1
"247","9","give","compete",1
"248","9","whites","qualified",1
"249","9","job","qualified",1
"250","9","glad","come",1
"251","9","day","soldier",1
"252","9","soldier","force",1
"253","9","armed","u.s.",1
"254","9","u.s.","black",1
"255","9","black","travel",1
"256","9","style","pay",1
"257","9","pay","part",1
"258","9","country","war",1
"259","9","war","want",1
"260","9","take","society",1
"261","9","high","southern",1
"262","9","gentleman","segregate",1
"263","9","abuse","southern",1
"264","9","white","naval",1
"265","9","naval","judge",1
"266","9","judge","merit",1
"267","9","thing","sailor",1
"268","9","sailor","capable",1
"269","9","whites","training",1
"270","10","get","say",1
"271","10","glad","whe",1
"272","10","whe","whuld",1
"273","10","say","thing",1
"274","10","glad","whuld",1
"275","11","mark","undecided",1
"276","11","see","good",1
"277","11","wan","sure",1
"278","11","question","see",1
"279","11","sure","know",1
"280","11","space","mark",1
"281","12","hope","answer",1
"282","12","answer","help",1
"283","12","help","find",1
"284","12","want","know",1
"285","12","hope","help",1
"286","12","answer","find",1
"287","13","win","war",1
"288","13","think","win",1
"289","14","last","camp",1
"290","14","think","questionnaire",1
"291","14","questionnaire","make",1
"292","14","make","complete",1
"293","14","complete","sufficient",1
"294","14","leave","last",1
"295","14","camp","come",1
"296","14","month","service",1
"297","14","get","day",1
"298","14","grant","privilege",1
"299","14","privilege","see",1
"300","14","see","people",1
"301","14","fortunate","return",1
"302","14","able","abide",1
"303","14","leave","camp",1
"304","14","last","come",1
"305","14","come","place",1
"306","14","day","month",1
"307","14","abide","people",1
"308","14","think","make",1
"309","14","questionnaire","complete",1
"310","14","make","sufficient",1
"311","14","place","tell",1
"312","14","follow","month",1
"313","14","grant","see",1
"314","14","privilege","people",1
"315","14","many","fortunate",1
"316","15","good","idea",1
"317","15","war","department",1
"318","15","department","know",1
"319","15","negro","think",1
"320","15","think","questionnaire",1
"321","15","idea","give",1
"322","15","opportunity","express",1
"323","15","let","war",1
"324","15","war","know",1
"325","15","questionnaire","good",1
"326","15","good","give",1
"327","15","give","opportunity",1
"328","15","let","department",1
"329","15","know","negro",1
"330","15","think","war",1
"331","15","questionnaire","idea",1
"332","15","express","let",1
"333","15","let","know",1
"334","15","department","negro",1
"335","15","know","think",1
"336","15","negro","war",1
"337","16","much","walk",1
"338","16","infantry","right",1
"339","17","much","jim",1
"340","17","jim","crowism",1
"341","17","fair","chance",1
"342","17","proper","vocation",1
"343","17","white","officer",1
"344","17","use","worse",1
"345","17","worse","language",1
"346","17","think","man",1
"347","17","make","good",1
"348","17","good","soldier",1
"349","17","hand","treatment",1
"350","17","much","red",1
"351","17","red","tape",1
"352","17","bitter","worker",1
"353","17","much","crowism",1
"354","17","give","fair",1
"355","17","vocation","negro",1
"356","17","use","language",1
"357","17","language","negro",1
"358","17","negro","say",1
"359","17","negro","fight",1
"360","17","make","soldier",1
"361","17","take","hand",1
"362","17","treatment","younger",1
"363","17","much","tape",1
"364","17","worker","man",1
"365","17","crowism","army",1
"366","17","army","negro",1
"367","17","negro","give",1
"368","17","give","chance",1
"369","17","chance","branch",1
"370","17","branch","service",1
"371","17","service","camp",1
"372","17","proper","negro",1
"373","17","negro","white",1
"374","17","officer","hand",1
"375","17","white","use",1
"376","17","worse","negro",1
"377","17","see","negro",1
"378","17","better","war",1
"379","17","take","treatment",1
"380","17","hand","younger",1
"381","17","service","homefront",1
"382","17","t't","much",1
"383","17","tape","discharge",1
"384","17","bitter","man",1
"385","17","jim","army",1
"386","17","fair","branch",1
"387","17","negro","officer",1
"388","17","white","hand",1
"389","17","hand","white",1
"390","17","white","worse",1
"391","17","use","negro",1
"392","17","language","say",1
"393","17","say","see",1
"394","17","t't","red",1
"395","17","red","discharge",1
"396","17","stand","bitter",1
"397","17","man","younger",1
"398","18","colored","race",2
"399","18","white","man",1
"400","18","law","better",1
"401","18","wife","sister",1
"402","18","sister","brother",1
"403","18","come","gather",1
"404","18","rule","regulation",1
"405","18","regulation","white",1
"406","18","take","mother",1
"407","18","tree","beet",1
"408","18","wife","brother",1
"409","18","brother","farther",1
"410","18","idea","thank",1
"411","18","regulation","man",1
"412","18","live","dose",1
"413","18","race","law",1
"414","18","better","dose",1
"415","18","like","colored",1
"416","18","race","take",1
"417","18","mother","hang",1
"418","18","beet","death",1
"419","18","sister","farther",1
"420","18","rule","white",1
"421","18","colored","law",1
"422","18","race","better",1
"423","18","law","dose",1
"424","18","like","race",1
"425","18","colored","take",1
"426","18","hang","tree",1
"427","18","death","wife",1
"428","18","wife","farther",1
"429","19","personal","comment",1
"430","19","enter","mixing",1
"431","19","find","soldier",1
"432","19","like","see",1
"433","19","see","enter",1
"434","19","comment","questionnaire",1
"435","19","see","mixing",1
"436","19","personal","questionnaire",1
"437","19","like","enter",1
"438","19","mixing","find",1
"439","20","army","work",1
"440","20","health","believe",1
"441","20","work","home",1
"442","20","help","army",1
"443","20","army","home",1
"444","20","help","work",1
"445","21","thing","disprove",1
"446","21","disprove","army",1
"447","21","army","fault",1
"448","21","day","think",1
"449","22","negro","soldier",1
"450","22","phiscal","condition",1
"451","22","little","medical",1
"452","22","medical","attention",1
"453","22","present","condition",1
"454","22","armed","force",1
"455","22","like","much",1
"456","22","much","get",1
"457","22","little","attention",1
"458","22","outfit","able",1
"459","22","able","get",1
"460","22","soldier","like",1
"461","22","condition","premit",1
"462","22","outfit","position",1
"463","22","position","branch",1
"464","22","branch","armed",1
"465","22","negro","like",1
"466","22","like","get",1
"467","22","get","phiscal",1
"468","22","phiscal","premit",1
"469","22","attention","outfit",1
"470","22","outfit","get",1
"471","22","condition","outfit",1
"472","22","branch","force",1
"473","23","army","suffer",1
"474","23","suffer","leg",1
"475","24","short","one",1
"476","24","hard","punishment",1
"477","24","good","health",1
"478","24","married","life",1
"479","24","mind","fight",1
"480","24","swell","life",1
"481","24","try","make",1
"482","24","make","forget",1
"483","24","forget","home",1
"484","24","make","swell",1
"485","24","expose","hard",1
"486","24","punishment","body",1
"487","24","carry","married",1
"488","24","life","carry",1
"489","24","home","impossible",1
"490","24","make","life",1
"491","24","expose","punishment",1
"492","24","hard","body",1
"493","24","body","mind",1
"494","24","carry","life",1
"495","24","married","carry",1
"496","24","look","try",1
"497","24","try","forget",1
"498","24","make","home",1
"499","24","job","make",1
"500","25","best","thing",2
"501","25","negro","soldier",2
"502","25","consider","questionnaire",2
"503","25","questionnaire","best",2
"504","25","opinion","negro",2
"505","25","give","consideration",2
"506","25","questionnaire","thing",2
"507","25","opinion","soldier",2
"508","25","soldier","give",2
"509","25","consider","best",2
"510","25","thing","happen",2
"511","25","negro","give",2
"512","25","consideration","possible",2
"513","25","possible","consider",1
"514","25","possible","questionnaire",1
"515","26","like","question",1
"516","26","question","o.k.",1
"517","26","questionnaire","right",1
"518","26","right","like",1
"519","27","nise","place",1
"520","27","civilian","life",1
"521","27","walk","pride",1
"522","27","body","help",1
"523","27","win","war",1
"524","27","make","walk",1
"525","27","home","body",1
"526","27","help","soldier",1
"527","27","live","civilian",1
"528","27","make","pride",1
"529","27","pride","body",1
"530","27","home","help",1
"531","27","body","soldier",1
"532","27","army","nise",1
"533","27","place","fun",1
"534","27","war","help",1
"535","27","help","live",1
"536","27","live","life",1
"537","27","walk","body",1
"538","27","body","home",1
"539","28","frank","opinion",1
"540","28","mighty","power",1
"541","28","peace","time",1
"542","28","time","soldier",1
"543","28","heart","want",1
