outfits_comment,racial_group,index,bracket,correct
will have the same thing [something] in commen [common],white,3520,[something]|[common],will have the same thing [something] in commen [common]
when it come to where a negro is alowed [allowed] in a white outfit than [then] i say to hell with the whole country,white,3696,[allowed]|[then],when it come to where a negro is allowed in a white outfit then i say to hell with the whole country
the [they] could never get along together for a long time,white,4055,[they],they could never get along together for a long time
not separating would cause too much jelousy [jealousy] in regards to promotions,white,4070,[jealousy],not separating would cause too much jealousy in regards to promotions
i believe if they were trained with white soldiers they would [be] better soldiers.,white,4088,[be],i believe if they were trained with white soldiers they would be better soldiers.
differente [different] races & some son't like each other.,white,4096,[different],different races & some don't like each other.
"when i was inducted (drafted) in the army i was classified 1b, limited service. at reception centre i was classified as radio operator. i imagined i would get in the signal corps but instead i was placed in the m.p.[military police] escort guard co.[company] i feel i could do much more and be of much more use to the army in the signal corps as i have had experience as a radio operator and am familiar with code and all its phases. i feel i would be much more suited to any radio job in the signal corp, preferably code instuctor, than to the work i am now doing in the m.p.e.g. co.[military police escort guard company] we have no radio communication equipment connected with this outfit, and if we did i think i would do much better and put all i had into the job if i got it.",white,4236,[military police]|[company]|[military police escort guard company],"when i was inducted (drafted) in the army i was classified 1b, limited service. at reception centre i was classified as radio operator. i imagined i would get in the signal corps but instead i was placed in the military police escort guard company i feel i could do much more and be of much more use to the army in the signal corps as i have had experience as a radio operator and am familiar with code and all its phases. i feel i would be much more suited to any radio job in the signal corp, preferably code instuctor, than to the work i am now doing in the military police escort guard company we have no radio communication equipment connected with this outfit, and if we did i think i would do much better and put all i had into the job if i got it."
they git [get] along better,white,4265,[get],they get along better
they wouldn't get along togher [together],white,4367,[together],they wouldn't get along together
a negro soilder [soldier] woul [would] dorp [drop] the moral [morale] of a white outfit,white,4430,[soldier]|[would]|[drop]|[morale],a negro soldier would drop the morale of a white outfit
as much as possible there is too much dislike for the mixing of colors. this would have a tendency to lower moral [morale]. a white man with any love for himself will hold himself above a negro.,white,4450,[morale],as much as possible there is too much dislike for the mixing of colors. this would have a tendency to lower morale. a white man with any love for himself will hold himself above a negro.
"it seems to me that in army life that there is a great deal of hurrying and then waiting. as some has said, ""rushing to wait."" also there is much contradiction of orders among the non-coms[non commissioned officers]. one will tell you to do one thing and another will give an order at direct variance with the first.",white,4537,[non commissioned officers],"it seems to me that in army life that there is a great deal of hurrying and then waiting. as some has said, ""rushing to wait."" also there is much contradiction of orders among the non commissioned officers. one will tell you to do one thing and another will give an order at direct variance with the first."
most groups which differ much spend there [their] time arguing instead of working or cooperating.,white,4625,[their],most groups which differ much spend their time arguing instead of working or cooperating.
negro's [negroes] work better and get better treatment among themselves.,white,4653,[negroes],negroes work better and get better treatment among themselves.
they shoulld [should] be in seprate [separate] outfits because they are different from white people.,white,4729,[should]|[separate],they should be in separate outfits because they are different from white people.
