"","x"
"1","think"
"2","like"
"3","be"
"4","have"
"5","know"
"6","get"
"7","good"
"8","a"
"9","see"
"10","want"
"11","to"
"12","the"
"13","one"
"14","so"
"15","give"
"16","in"
"17","enough"
"18","comments"
"19","getting"
"20","matter"
"21","as"
"22","reason"
"23","fair"
"24","do"
"25","believe"
"26","given"
"27","only"
"28","care"
"29","treated"
"30","go"
"31","more"
"32","chance"
"33","other"
"34","been"
"35","i"
"36","being"
"37","we"
"38","don't"
"39","unclear"
"40","because"
"41","fit"
"42","better"
"43","place"
"44","make"
"45","seem"
"46","even"
"47","for"
"48","let"
"49","that"
"50","mind"
"51","allowed"
"52","what"
"53","they"
"54","way"
"55","able"
"56","going"
"57","on"
"58","where"
"59","any"
"60","take"
"61","treat"
"62","time"
"63","much"
"64","no"
"65","feel"
"66","you"
"67","all"
"68","doing"
"69","just"
"70","stand"
"71","mix"
"72","had"
"73","right"
"74","understand"
"75","use"
"76","ask"
"77","mean"
"78","got"
"79","interested"
"80","put"
"81","can't"
"82","thank"
"83","difference"
"84","man"
"85","white"
"86","why"
"87","at"
"88","but"
"89","by"
"90","my"
"91","used"
"92","very"
"93","comment"
"94","it"
"95","keep"
"96","too"
"97","won't"
"98","work"
"99","60"
"100","discrimination"
"101","doubt"
"102","trouble"
"103","and"
"104","fighting"
"105","qualified"
"106","wanted"
"107","help"
"108","try"
"109","9"
"110","answer"
"111","business"
"112","complaints"
"113","different"
"114","interest"
"115","need"
"116","negro"
"117","protection"
"118","service"
"119","allow"
"120","our"
"121","physically"
"122","true"
"123","say"
"124","change"
"125","thing"
"126","color"
"127","bad"
"128","capable"
"129","giving"
"130","live"
"131","making"
"132","properly"
"133","quite"
"134","worth"
"135","approve"
"136","expect"
"137","forget"
"138","realize"
"139","colored"
"140","country"
"141","idea"
"142","question"
"143","segregation"
"144","transportation"
"145","cooperate"
"146","done"
"147","fight"
"148","from"
"149","half"
"150","he"
"151","human"
"152","last"
"153","respect"
"154","saying"
"155","their"
"156","this"
"157","hardly"
"158","ride"
"159","wear"
"160","trust"
"161","lake"
"162","cooperation"
"163","experience"
"164","how"
"165","part"
"166","questions"
"167","rights"
"168","springs"
"169","such"
"170","ben"
"171","come"
"172","here"
"173","his"
"174","married"
"175","needed"
"176","permit"
"177","prove"
"178","satisfied"
"179","some"
"180","stop"
"181","sure"
"182","afford"
"183","win"
"184","walk"
"185","belong"
"186","blame"
"187","eat"
"188","ever"
"189","look"
"190","misunderstand"
"191","under"
"192","agree"
"193","lick"
"194","mine"
"195","now"
"196","41"
"197","54"
"198","8"
"199","are"
"200","body"
"201","confidence"
"202","dam"
"203","differance"
"204","education"
"205","further"
"206","job"
"207","negroes"
"208","of"
"209","pass"
"210","play"
"211","recreation"
"212","room"
"213","southern"
"214","space"
"215","system"
"216","underline"
"217","afraid"
"218","after"
"219","allowing"
"220","benefit"
"221","chosen"
"222","considered"
"223","deletion"
"224","deserve"
"225","equal"
"226","happen"
"227","hard"
"228","hold"
"229","if"
"230","kept"
"231","many"
"232","me"
"233","not"
"234","over"
"235","pay"
"236","perish"
"237","really"
"238","require"
"239","run"
"240","seen"
"241","send"
"242","shown"
"243","sick"
"244","soldier"
"245","sufficient"
"246","talk"
"247","taught"
"248","there"
"249","trained"
"250","until"
"251","well"
"252","worry"
"253","having"
"254","concentrate"
"255","find"
"256","learn"
"257","please"
"258","protect"
"259","read"
"260","tell"
"261","waste"
"262","lose"
"263","march"
"264","possibly"
"265","belive"
"266","enjoy"
"267","examine"
"268","love"
"269","receive"
"270","wish"
"271","miss"
"272","pick"
"273","1"
"274","18"
"275","2"
"276","20"
"277","23"
"278","24"
"279","3"
"280","34"
"281","45"
"282","47"
"283","49"
"284","5"
"285","67"
"286","7"
"287","74"
"288","allotment"
"289","avail"
"290","butter"
"291","camp"
"292","circumstances"
"293","desire"
"294","end"
"295","enjoyment"
"296","exception"
"297","excuse"
"298","father"
"299","fault"
"300","feeling"
"301","furlough"
"302","gun"
"303","harm"
"304","higher"
"305","hope"
"306","impartiality"
"307","importance"
"308","is"
"309","jobs"
"310","leadership"
"311","less"
"312","longer"
"313","mater"
"314","means"
"315","nothing"
"316","objection"
"317","openings"
"318","opportunity"
"319","passes"
"320","places"
"321","possibility"
"322","possible"
"323","prejudice"
"324","quarter"
"325","race"
"326","radio"
"327","rating"
"328","real"
"329","recreational"
"330","sir"
"331","towns"
"332","treatment"
"333","unity"
"334","value"
"335","wars"
"336","about"
"337","accustomed"
"338","act"
"339","adequate"
"340","alowed"
"341","animals"
"342","asked"
"343","become"
"344","best"
"345","between"
"346","called"
"347","calling"
"348","clear"
"349","complete"
"350","consider"
"351","cover"
"352","die"
"353","encouraged"
"354","enforced"
"355","exactly"
"356","exist"
"357","expecting"
"358","fed"
"359","include"
"360","insertion"
"361","its"
"362","knowing"
"363","left"
"364","liked"
"365","liking"
"366","made"
"367","men"
"368","merely"
"369","mingle"
"370","mixed"
"371","necessarily"
"372","necessary"
"373","negros"
"374","never"
"375","nice"
"376","or"
"377","poor"
"378","practice"
"379","practiced"
"380","proud"
"381","received"
"382","remove"
"383","required"
"384","return"
"385","rite"
"386","rugged"
"387","seperate"
"388","smoke"
"389","socially"
"390","soldiers"
"391","something"
"392","start"
"393","station"
"394","sufficiently"
"395","taken"
"396","taking"
"397","teach"
"398","together"
"399","transfer"
"400","tried"
"401","whether"
"402","wholly"
"403","willing"
"404","with"
"405","write"
"406","written"
"407","yet"
"408","fear"
"409","us"
"410","listen"
"411","stay"
"412","advance"
"413","ague"
"414","allways"
"415","anything"
"416","army"
"417","blend"
"418","break"
"419","carry"
"420","conceive"
"421","count"
"422","cut"
"423","drill"
"424","e"
"425","e.g"
"426","elevate"
"427","express"
"428","exterminate"
"429","fail"
"430","figure"
"431","ge"
