"","doc_id","lemma"
"6","3","comment"
"16","6","amount"
"18","6","busis"
"19","6","available"
"27","9","good"
"28","9","questionnaire"
"30","9","cover"
"32","9","current"
"33","9","situation"
"35","9","good"
"39","11","maney"
"40","11","question"
"45","11","last"
"49","11","rest"
"50","11","alright"
"54","12","think"
"56","12","idea"
"58","12","question"
"60","12","soldier"
"65","12","excellent"
"66","12","idea"
"72","13","soldier"
"75","13","right"
"77","13","take"
"80","13","kind"
"82","13","work"
"84","13","want"
"87","13","army"
"89","14","good"
"90","14","thing"
"92","14","higher"
"93","14","authority"
"94","14","get"
"96","14","action"
"99","14","problem"
"102","15","question"
"108","15","think"
"111","15","check"
"114","15","get"
"115","15","finished"
"118","15","check"
"122","15","feel"
"127","16","big"
"128","16","drive"
"132","16","start"
"135","16","germany"
"138","16","strong"
"144","16","war"
"145","16","end"
"149","17","stay"
"152","17","war"
"155","17","like"
"159","17","chance"
"162","17","truck"
"169","17","thank"
"173","19","think"
"175","19","type"
"177","19","service"
"180","19","various"
"181","19","branch"
"183","19","service"
"187","19","broader"
"188","19","training"
"191","19","work"
"194","19","radio"
"195","19","operators"
"198","19","field"
"199","19","artillery"
"202","20","question"
"203","20","ask"
"205","20","give"
"206","20","good"
"207","20","idea"
"211","20","soldier"
"212","20","feel"
"215","20","whole"
"220","21","mention"
"223","21","food"
"226","21","questionnaire"
"229","21","opinion"
"234","21","lousy"
"237","21","much"
"238","21","goat"
"241","22","reference"
"243","22","question"
"249","22","cooperation"
"254","22","include"
"255","22","officer"
"257","22","noncom"
"260","22","enlist"
"261","22","man"
"264","22","know"
"268","22","come"
"270","22","alive"
"272","22","send"
"274","22","combat"
"277","22","company"
"284","22","know"
"287","22","heck"
"290","22","thing"
"292","22","say"
"298","22","truth"
"300","23","let"
"302","23","get"
"304","23","done"
"306","23","prosecut"
"308","23","war"
"313","23","many"
"314","23","deserter"
"319","23","apprehend"
"325","23","draft"
"327","23","dodger"
"332","23","mean"
"333","23","strike"
"336","23","outlaw"
"339","23","duration"
"342","23","food"
"345","23","poorest"
"353","23","time"
"357","23","induct"
"363","24","fight"
"365","24","give"
"366","24","freedom"
"369","24","world"
"371","24","freedom"
"377","24","earn"
"385","24","value"
"387","24","take"
"390","24","gift"
"394","24","fight"
"396","24","keep"
"397","24","america"
"399","24","top"
"402","24","help"
"403","24","great"
"404","24","britain"
"407","24","roosevelt"
"408","24","think"
"413","24","flood"
"415","24","country"
"418","24","scum"
"421","24","world"
"424","24","war"
"428","24","lesson"
"429","24","come"
"434","24","white"
"435","24","fighting"
"436","24","christian"
"437","24","country"
"440","24","intend"
"442","24","keep"
"445","24","way"
"448","24","earn"
"450","24","freedom"
"452","24","help"
"456","24","want"
"464","24","lie"
"466","24","hand"
"473","24","least"
"474","24","government"
"477","24","best"
"478","24","government"
"481","25","want"
"483","25","say"
"486","25","consider"
"489","25","effort"
"492","25","army"
"496","25","point"
"500","25","fruitless"
"509","25","useful"
"510","25","person"
"516","25","specialized"
"517","25","training"
"520","25","subject"
"526","25","want"
"532","25","basic"
