"","id","subject_id","image_name","document_type","q85"
"1",0,"15901748","2521127-37-0001.jpg","Other"," "
"2",1,"15901753","2521127-37-0002.jpg","Other"," "
"3",2,"15901759","2521127-37-0003.jpg","Other"," "
"4",3,"15901768","2521127-37-0004.jpg","A document that contains Q.85","Concerning question #84 I haven't the slightest idea how convenient it will be for me after the war, but I am hoping for the best.  "
"5",4,"15901775","2521127-37-0005.jpg","A document that contains Q.85","After the war I hope we Americans will have a chance to make a decient [decent] living for our familys [families] but it will be hard if we are going to let foreigners come in + rape the country + starve us who have deprive our homes + our familys [families] of the decient [decent] things to go to battle for this Country + there he pushed around by some guy catn's {can't] even speak our language "
"6",5,"15901787","2521127-37-0006.jpg","A document that contains Q.85","The Army would be swell for a Certain amount of training for young men or anyone who would be interested. thats if they were Citizens of the U.S. And if they could take up a trade which post war plans have without being separated from their families too long or too far away. The army really builds a person up & would be alright for a lot of people who just like to travel.  I think anyone who wanted to fight & had sufficient training whether he was in a combat unit or working battalion should be able to volunteer with the outfit he preferred without so much red tape. Even though I guess it is necessary. "
"7",6,"15901795","2521127-37-0007.jpg","A document that contains Q.85","Well I think Uncle sam will give the veterans a brake after the war then I no [know] we  can live happy. "
"8",7,"15901805","2521127-37-0008.jpg","A document that contains Q.85","I think the army is a great place to be at but the moral is low very low. "
"9",8,"15901812","2521127-37-0009.jpg","A document that contains Q.85","I think that the U.S.A. should keep a army of at lease 3 million men "
"10",9,"15901818","2521127-37-0010.jpg","A document that contains Q.85","I would like to say, I hope we are fight [fighting] for what they or we say we are fighting for, that is freedom. I hope we all colored people will have a better chance to make advancement in the future and will be treated better exspecial [especially] in the South. I am hoping they or we will be able to obtain better living conditions and be looked upon as being intelligent and as good as the next person. "
"11",10,"15901828","2521127-37-0011.jpg","A document that contains Q.85","The Army is in so bad But I am reader to be home. "
"12",11,"15901835","2521127-37-0012.jpg","A document that contains Q.85","May God bless us all "
"13",12,"15901840","2521127-37-0013.jpg","A document that contains Q.85","There is one thing. I do believe that the colored people will get a bad break just as before the war. Thank you "
"14",13,"15901849","2521127-37-0014.jpg","A document that contains Q.85","Being a member of the Methodist Ministry, my opinion varies some-what to the average soldier. I'm opposed to combat in every re-spect due to my Religious teach-ings, but will do my utmost to promote the war effort in any other respect. I think its the responsibility of the American government to be solely responsible to see that all ex-service men at least return to the position the held before their induction, if not a better one. Lets see the evidence of democracy thru living examples. "
"15",14,"15901858","2521127-37-0015.jpg","A document that contains Q.85","I do say that I think that every man have served in the arm forces should get the first and best chance at any job or anything to be given out that all thank you "
"16",15,"15901868","2521127-37-0016.jpg","A document that contains Q.85","None other than there should be utmost peace and liberty for everyone within the U.S. "
"17",16,"15901876","2521127-37-0017.jpg","A document that contains Q.85","It is a known fact that the situation of the Negro and the U.S. of the Post war will have to be different than that of Pre-War days It has been proven on any number of occasions whether by Military personnel or otherwise, that the Negro has the ability and is more that capable of handling jobs that were denied him in other fields. The Negro is not just a laborer he too, like any other man is a man, given the right to think and do as he so desires. He speaks, dresses, and goes to the same schools as any other, and surely, above all else, he too, is fighting for his country and freedom, the freedom that he has been denied on any number of times for many years.   "
"18",17,"15901889","2521127-37-0018.jpg","A document that contains Q.85","I am uncertain as to the fate of the Negros. I think that after that war they should be given more of a chance than they have had. I know as for me I want more of a chance because I am serving with the best of my ability in the Cause. And I think there are too many Negroes being thrown in the Service Forces. There are a lot of healthy young men in the Services Force. They should be in a branch that will require their skill and health. "
"19",18,"15901895","2521127-37-0019.jpg","A document that contains Q.85","Well after having served in the service I would like very much to see all persons regardless of race, creed or mostly color being given a fair chance. "
"20",19,"15901900","2521127-37-0020.jpg","A document that contains Q.85","There is one factor I would like to discuss and that is the demobilization of the Army. Some difinate plans should be worked out so as the enlisted man should know exactly what to look forward to after this conflict is over. It will enable him to do a better job and work hard to his goal. It would also elevate his morale. "
"21",20,"15901907","2521127-37-0021.jpg","A document that contains Q.85","Conditions after the war have a doubtful view. All soldiers are wondering whether thir jobs will be open to them or not. No one wants to go back to a long era of hardships and depression. If by some way such things could be avoided it would really help the future of the  country "
"22",21,"15901913","2521127-37-0022.jpg","A document that contains Q.85","Frankly I'd rather not say it. "
